               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10135,            0.035796,            0.048001,             0.29203,            0.042894,            0.078212,            0.027307,             0.08143,            0.018962,            0.037428,              0.0757,              0.0027,              0.0027
                   1,            0.074022,            0.032145,            0.035971,             0.18826,             0.42151,             0.19307,             0.06833,            0.070204,            0.014351,            0.030399,            0.050364,           0.0053639,           0.0053639
                   2,            0.067362,             0.02877,            0.029523,             0.23979,             0.38249,             0.27801,             0.10149,            0.069314,            0.011032,            0.027133,            0.024889,           0.0078891,           0.0078891
                   3,            0.065067,              0.0261,             0.02511,             0.63331,             0.30369,               0.312,             0.15858,            0.065573,             0.01167,            0.024283,           0.0092575,           0.0092575,           0.0092575
                   4,            0.060144,            0.025094,            0.025458,             0.24527,             0.39792,             0.24776,            0.098585,            0.067846,            0.012498,            0.024013,           0.0092575,           0.0092575,           0.0092575
                   5,            0.057658,              0.0248,            0.023499,             0.22488,             0.37874,             0.28183,             0.12196,            0.058296,            0.012954,            0.025856,             0.00901,             0.00901,             0.00901
                   6,            0.054094,            0.024987,            0.017674,             0.35732,             0.38897,             0.34305,              0.1919,            0.056495,            0.012773,            0.021345,           0.0087625,           0.0087625,           0.0087625
                   7,            0.051705,            0.024317,            0.019773,             0.41882,             0.46496,             0.45002,             0.26115,            0.049752,            0.012021,            0.021222,            0.008515,            0.008515,            0.008515
                   8,            0.048125,            0.024062,            0.017733,             0.42858,             0.51531,             0.45546,              0.2603,            0.051188,            0.011955,            0.022508,           0.0082675,           0.0082675,           0.0082675
                   9,            0.046333,            0.023035,            0.017605,             0.41253,             0.52919,              0.4782,             0.28682,            0.052271,            0.011881,            0.021638,             0.00802,             0.00802,             0.00802
                  10,             0.04641,            0.023993,            0.016684,             0.34839,             0.45914,             0.38739,              0.2339,            0.050061,            0.012489,            0.019334,           0.0077725,           0.0077725,           0.0077725
                  11,            0.045315,            0.023791,            0.016007,             0.41202,             0.55399,             0.46704,             0.28232,            0.048862,            0.012246,            0.020341,            0.007525,            0.007525,            0.007525
                  12,             0.04387,             0.02323,            0.014295,             0.41526,             0.52305,             0.49545,             0.30035,            0.048417,            0.012138,            0.021182,           0.0072775,           0.0072775,           0.0072775
                  13,            0.042569,            0.022641,            0.014658,             0.48611,             0.50676,              0.4834,             0.28411,            0.049179,            0.011898,            0.018662,             0.00703,             0.00703,             0.00703
                  14,            0.041698,            0.023845,            0.012691,                0.41,             0.55743,             0.43349,             0.25663,            0.049988,            0.012611,             0.01767,           0.0067825,           0.0067825,           0.0067825
                  15,             0.04164,            0.022747,            0.012905,             0.46957,             0.57302,             0.47503,             0.29064,            0.046669,            0.012276,            0.019379,            0.006535,            0.006535,            0.006535
                  16,            0.039902,            0.021268,            0.012622,             0.45965,             0.51546,             0.46177,              0.3003,            0.047162,            0.012296,            0.017932,           0.0062875,           0.0062875,           0.0062875
                  17,            0.038919,            0.020575,            0.012444,             0.45702,             0.55779,             0.50171,             0.31434,            0.047523,            0.012636,            0.017941,             0.00604,             0.00604,             0.00604
                  18,            0.038924,            0.022627,            0.013444,             0.54997,             0.48236,             0.49456,             0.32997,            0.046035,            0.012605,            0.015097,           0.0057925,           0.0057925,           0.0057925
